# t Temp Pres Epot Etot
40.250000 2.020870 3.362685 -2111.127716 -595.474885
40.300000 2.006184 2.599303 -2201.999743 -697.361868
40.350000 1.984460 3.074404 -2130.418842 -642.073813
40.400000 2.005381 3.233600 -2108.978326 -604.942210
40.450000 2.012270 2.728541 -2175.648861 -666.446042
40.500000 1.995389 2.699844 -2174.421146 -677.879062
40.550000 1.990461 2.871871 -2157.777977 -664.932148
40.600000 1.993500 2.807823 -2171.933218 -676.808040
40.650000 2.002339 2.952716 -2160.401033 -658.646659
40.700000 2.001412 3.151118 -2135.651451 -634.592713
40.750000 2.004768 3.081244 -2145.719036 -642.142808
40.800000 2.002357 2.839483 -2179.541321 -677.773503
40.850000 1.991653 3.227901 -2129.891338 -636.151513
40.900000 2.013849 3.360480 -2115.941701 -605.554973
40.950000 2.005628 3.114066 -2145.036744 -640.816087
41.000000 2.013624 2.839900 -2182.857480 -672.639323
41.050000 1.994391 3.103716 -2147.389124 -651.595721
41.100000 1.998209 3.000746 -2167.241705 -668.585084
41.150000 2.000203 3.089277 -2153.231413 -653.079368
41.200000 1.980327 3.215613 -2124.715758 -639.470545
41.250000 2.003977 3.372559 -2103.089130 -600.106456
41.300000 2.001437 3.075427 -2155.433353 -654.355769
41.350000 1.987577 3.356662 -2123.979636 -633.296834
41.400000 2.002173 3.207290 -2146.351532 -644.722000
41.450000 2.001994 3.006799 -2162.869019 -661.373148
41.500000 2.006749 3.146515 -2142.030173 -636.968332
41.550000 1.991993 3.276827 -2127.739729 -633.744923
41.600000 2.010064 3.311435 -2124.316840 -616.768819
41.650000 2.008904 2.925414 -2171.782331 -665.104273
41.700000 1.998856 3.197442 -2133.492254 -634.350011
41.750000 2.017489 3.136381 -2139.804906 -626.688436
41.800000 1.990013 2.990498 -2152.194256 -659.684642
41.850000 2.010928 2.842953 -2174.744712 -666.548544
41.900000 1.994519 2.795395 -2176.116105 -680.226538
41.950000 1.974406 2.948350 -2159.579856 -678.775718
42.000000 2.008933 3.232996 -2117.868878 -611.169199
42.050000 1.995633 2.877240 -2161.436993 -664.712145
42.100000 2.005261 3.096882 -2123.910957 -619.965090
42.150000 1.994890 3.434572 -2077.219353 -581.051779
42.200000 2.002455 3.358559 -2087.448547 -585.607463
42.250000 1.999159 3.004880 -2136.753616 -637.384661
42.300000 2.015046 2.778504 -2177.221153 -665.936962
42.350000 1.975392 3.091407 -2132.742070 -651.198211
42.400000 1.995777 3.093893 -2132.283370 -635.450972
42.450000 1.999799 2.920277 -2153.548590 -653.699379
42.500000 2.001097 2.881235 -2152.568610 -651.746219
42.550000 2.004388 2.869219 -2160.691662 -657.401036
42.600000 1.989423 2.936082 -2159.010414 -666.942989
42.650000 1.997285 3.117511 -2130.887654 -632.923965
42.700000 1.996136 2.829888 -2165.677842 -668.575884
42.750000 1.985479 3.147058 -2116.959199 -627.850107
42.800000 2.023466 2.627848 -2197.216984 -679.617390
42.850000 1.993951 2.711535 -2187.886079 -692.422952
42.900000 1.998409 2.873420 -2176.159944 -677.353314
42.950000 2.002045 3.438347 -2103.023404 -601.489815
43.000000 1.990551 3.162112 -2162.932103 -670.019142
43.050000 2.009244 3.500765 -2117.530272 -610.596932
43.100000 1.987298 3.092645 -2164.853687 -674.380519
43.150000 2.011910 3.150986 -2155.188967 -646.256706
43.200000 1.995395 3.009064 -2170.986030 -674.440009
43.250000 1.998415 3.146553 -2153.920145 -655.109262
43.300000 2.002322 3.231393 -2138.534989 -636.793810
43.350000 1.995651 3.106773 -2142.127883 -645.389569
43.400000 1.996015 3.159798 -2112.704946 -615.693655
43.450000 2.008782 2.597495 -2183.743227 -677.156394
43.500000 1.988663 2.628230 -2182.996501 -691.499015
43.550000 1.995317 3.229386 -2120.373184 -623.885224
43.600000 1.998166 3.193691 -2145.135403 -646.511008
43.650000 2.004350 2.996712 -2179.263630 -676.001229
43.700000 2.010908 2.778017 -2199.487184 -691.306095
43.750000 1.996571 2.591833 -2216.149531 -718.721100
43.800000 1.996473 2.717161 -2201.025887 -703.671102
43.850000 1.974551 3.069947 -2158.348731 -677.435503
43.900000 2.002341 3.529342 -2111.730413 -609.974465
43.950000 2.000285 3.239359 -2152.376258 -652.162139
44.000000 2.010727 3.214870 -2147.225102 -639.179677
44.050000 1.994347 3.161910 -2144.263063 -648.502502
44.100000 2.000824 3.110949 -2155.894869 -655.276675
44.150000 2.006666 3.335270 -2130.810630 -625.810954
44.200000 2.001445 3.083327 -2173.332154 -672.248341
44.250000 1.996288 3.490571 -2110.382221 -613.166074
44.300000 2.014001 3.388568 -2123.680099 -613.179142
44.350000 2.006089 2.647955 -2212.401110 -707.834492
44.400000 1.989160 2.563506 -2211.750049 -719.880159
44.450000 1.998695 2.549482 -2206.057233 -707.035725
44.500000 2.000893 2.501309 -2197.649802 -696.979880
44.550000 1.997611 2.267334 -2224.542089 -726.333953
44.600000 1.991361 2.594287 -2186.524014 -693.003066
44.650000 2.004946 2.634673 -2193.827729 -690.118035
44.700000 2.004338 2.838078 -2162.964113 -659.710454
44.750000 1.992475 2.661512 -2190.227891 -695.871606
44.800000 1.995903 3.045898 -2148.799093 -651.871481
44.850000 2.007325 2.770089 -2187.569669 -682.075681
44.900000 1.996202 2.740990 -2183.832341 -686.681032
44.950000 2.008044 2.628303 -2200.150814 -694.118153
45.000000 1.998364 2.015457 -1837.025124 -338.251773
45.050000 2.001001 2.063435 -1841.454408 -340.703580
45.100000 2.001037 2.087322 -1843.389016 -342.611465
45.150000 1.989361 2.084403 -1836.023758 -344.003366
45.200000 2.018895 1.829213 -1863.193075 -349.021718
45.250000 2.007253 1.407449 -1922.407043 -416.967260
45.300000 1.990783 1.795372 -1867.625605 -374.538482
45.350000 1.998072 2.112291 -1817.373611 -318.819549
45.400000 2.007483 1.844843 -1863.988900 -358.376886
45.450000 1.995751 2.098722 -1814.733486 -317.920453
45.500000 2.003181 1.464686 -1912.239797 -409.853714
45.550000 1.996243 1.430869 -1916.649249 -419.466878
45.600000 2.000779 1.919926 -1836.176733 -335.592126
45.650000 1.989160 1.692624 -1877.711995 -385.842228
45.700000 2.005377 1.657077 -1884.495257 -380.462197
45.750000 1.998799 1.790815 -1857.459494 -358.360346
45.800000 1.996988 1.963261 -1826.458107 -328.717304
45.850000 2.005233 1.740323 -1854.338546 -350.413448
45.900000 2.006806 1.095848 -1944.319504 -439.214923
45.950000 1.999078 1.376537 -1895.725782 -396.417638
46.000000 1.994728 1.766929 -1847.214367 -351.168216
46.050000 2.002799 1.871838 -1851.707057 -349.607453
46.100000 2.004563 2.104586 -1816.544862 -313.122602
46.150000 2.000181 1.696868 -1877.377000 -377.241380
46.200000 2.008035 1.622554 -1884.088910 -378.062780
46.250000 1.993500 1.653573 -1875.943346 -380.818299
46.300000 1.998178 1.703577 -1870.073408 -371.440131
46.350000 1.995335 1.737845 -1870.557236 -374.056121
46.400000 2.003802 1.721472 -1884.902609 -382.050764
46.450000 1.993660 2.121725 -1824.922701 -329.677933
46.500000 2.006209 1.894103 -1868.170372 -363.513902
46.550000 1.996134 2.085657 -1840.328146 -343.227533
46.600000 2.008498 1.837414 -1881.991190 -375.617593
46.650000 1.999382 1.772984 -1893.366356 -393.829698
46.700000 2.001932 2.000576 -1846.590212 -345.141093
46.750000 2.001628 1.731225 -1881.550878 -380.329695
46.800000 1.992038 1.937500 -1849.706877 -355.678248
46.850000 1.999345 1.856254 -1867.954263 -368.445244
46.900000 1.995434 1.903650 -1853.026491 -356.450959
46.950000 2.000083 1.708328 -1887.465912 -387.403865
47.000000 1.999716 1.997311 -1837.851047 -338.064412
47.050000 2.007067 1.616246 -1893.105152 -387.805142
47.100000 2.001457 1.825541 -1849.822111 -348.729575
